code,name,province,city,area,town
110117,金海湖地区,11,01,17,006000
110117,东高村镇,11,01,17,101000
110117,山东庄镇,11,01,17,102000
110117,南独乐河镇,11,01,17,104000
110117,大华山镇,11,01,17,105000
110117,夏各庄镇,11,01,17,106000
110117,马昌营镇,11,01,17,108000
110117,王辛庄镇,11,01,17,110000
110117,大兴庄镇,11,01,17,111000
110117,刘家店镇,11,01,17,112000
110117,镇罗营镇,11,01,17,114000
110117,黄松峪乡,11,01,17,213000
110117,熊儿寨乡,11,01,17,214000
110118,鼓楼街道,11,01,18,001000
110118,果园街道,11,01,18,002000
110118,檀营地区,11,01,18,003000
110118,密云镇,11,01,18,100000
110118,溪翁庄镇,11,01,18,101000
110118,西田各庄镇,11,01,18,102000
110118,十里堡镇,11,01,18,103000
110118,河南寨镇,11,01,18,104000
110118,巨各庄镇,11,01,18,105000
110118,穆家峪镇,11,01,18,106000
110118,太师屯镇,11,01,18,107000
110118,高岭镇,11,01,18,108000
110118,不老屯镇,11,01,18,109000
110118,冯家峪镇,11,01,18,110000
110118,古北口镇,11,01,18,111000
110118,大城子镇,11,01,18,112000
110118,东邵渠镇,11,01,18,113000
110118,北庄镇,11,01,18,114000
110118,新城子镇,11,01,18,115000
110118,石城镇,11,01,18,116000
110118,中关村科技园区密云园,11,01,18,400000
110119,百泉街道,11,01,19,001000
110119,香水园街道,11,01,19,002000
110119,儒林街道,11,01,19,003000
110119,延庆镇,11,01,19,100000
110119,康庄镇,11,01,19,101000
110119,八达岭镇,11,01,19,102000
110119,永宁镇,11,01,19,103000
110119,旧县镇,11,01,19,104000
110119,张山营镇,11,01,19,105000
110119,四海镇,11,01,19,106000
110119,千家店镇,11,01,19,107000
110119,沈家营镇,11,01,19,108000
110119,大榆树镇,11,01,19,109000
110119,井庄镇,11,01,19,110000
110119,大庄科乡,11,01,19,200000
110119,刘斌堡乡,11,01,19,201000
110119,香营乡,11,01,19,202000
110119,珍珠泉乡,11,01,19,203000
120101,劝业场街道,12,01,01,001000
120101,小白楼街道,12,01,01,002000
